tem,glnonfil,temnorth,temsouth,,,
-0.367,-0.342,-0.364,-0.369,,,
-0.315,-0.249,-0.386,-0.244,,,
-0.337,-0.252,-0.377,-0.296,,,
-0.588,-0.43,-0.839,-0.337,,,
-0.546,-0.378,-0.749,-0.343,,,
-0.356,-0.244,-0.31,-0.402,,,
-0.23,-0.142,-0.055,-0.405,,,
-0.182,-0.146,-0.111,-0.253,,,
-0.172,-0.093,-0.12,-0.223,,,
-0.155,-0.136,-0.004,-0.306,,,
-0.118,-0.157,0.02,-0.256,,,
-0.314,-0.318,-0.486,-0.142,,,
-0.094,-0.047,-0.102,-0.087,,,
-0.3,-0.228,-0.446,-0.154,,,
-0.349,-0.175,-0.526,-0.171,,,
-0.415,-0.304,-0.688,-0.143,,,
-0.118,-0.098,-0.119,-0.116,,,
-0.114,-0.066,0.012,-0.241,,,
-0.163,-0.178,-0.092,-0.234,,,
-0.187,-0.191,-0.002,-0.372,,,
-0.185,-0.18,-0.072,-0.299,,,
-0.186,-0.177,-0.045,-0.327,,,
-0.212,-0.283,-0.104,-0.321,,,
-0.423,-0.468,-0.429,-0.416,,,
-0.465,-0.497,-0.508,-0.422,,,
-0.199,-0.141,-0.068,-0.331,,,
-0.556,-0.426,-0.636,-0.476,,,
-0.843,-0.772,-1.114,-0.571,,,
-0.663,-0.608,-0.548,-0.778,,,
-0.56,-0.484,-0.448,-0.671,,,
-0.335,-0.336,-0.228,-0.441,,,
-0.395,-0.403,-0.209,-0.58,,,
-0.389,-0.326,-0.276,-0.503,,,
-0.371,-0.359,-0.273,-0.468,,,
-0.501,-0.592,-0.431,-0.571,,,
-0.529,-0.483,-0.533,-0.524,,,
-0.49,-0.395,-0.402,-0.577,,,
-0.36,-0.237,-0.295,-0.424,,,
-0.554,-0.524,-0.723,-0.385,,,
-0.589,-0.604,-0.842,-0.336,,,
-0.439,-0.387,-0.403,-0.476,,,
-0.359,-0.349,-0.327,-0.391,,,
-0.501,-0.433,-0.506,-0.496,,,
-0.366,-0.308,-0.249,-0.482,,,
-0.24,-0.191,-0.126,-0.354,,,
-0.152,-0.159,-0.063,-0.24,,,
-0.183,-0.188,-0.041,-0.325,,,
-0.057,-0.032,0.15,-0.264,,,
-0.466,-0.498,-0.573,-0.36,,,
-0.507,-0.334,-0.734,-0.279,,,
-0.203,-0.227,-0.349,-0.057,,,
-0.2,-0.327,-0.097,-0.303,,,
-0.224,-0.294,-0.207,-0.241,,,
-0.303,-0.327,-0.198,-0.407,,,
